No|             BAT_NAME|      RA|     DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|  GAMMA|GAMM_LO|GAMM_HI|  CHI_SQ_R|REDSHIFT|       LUM|ASSOC_STREN|   CL2|                 TYPE
#    |                     |     deg|     deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |       |       |       |          |        |log[erg/s]|      |           |
1687|   SWIFT J0407.9-7913| 61.9764|-79.2235|    6.20|        2SXPS J040848.1-791405|                               | 62.2007|-79.2349|    6.51|    4.92|    8.34|  |   3.13|   2.64|   3.78|      1.29|      NA|  NA |  0        |          0|X-ray source
1688|   SWIFT J0412.7-4713| 63.1783|-47.2230|    4.84|                      RBS 0518|                               | 63.1729|-47.2128|    6.14|    3.87|    8.88|  |   2.21|   1.64|   2.93|      0.17|  0.1320|     44.46|  1        |          4|Sy1
1689|   SWIFT J0425.5+3448| 66.3850| 34.8079|    5.17|       2MASS J04253312+3447195|                               | 66.3880| 34.7887|    9.95|    6.93|   13.34|  |   2.19|   1.76|   2.71|      0.73|  0.0578|     43.91|  4        |          7|FSRQ
1690|   SWIFT J0430.0+4556| 67.5114| 45.9299|    4.87|                   V* V591 Per|                               | 67.5330| 45.9506|    4.98|    3.46|    6.86|  |   4.21|   3.12|   6.06|      0.85|galactic|  NA |  4        |         12|Star
1691|   SWIFT J0430.6-5337| 67.6408|-53.6091|    4.75|                       FRL 303|                               | 67.6668|-53.6155|    6.68|    4.51|    9.21|  |   2.17|   1.73|   2.71|      0.96|  0.0390|     43.39|  0        |          4|Sy1
1692|   SWIFT J0430.7+2809| 67.6802| 28.1578|    5.51|                          None|                               |      NA|      NA|    9.33|    5.52|   13.69|  |   2.22|   1.56|   3.30|      1.71|      NA|  NA |  7        |          0|Unknown
1693|   SWIFT J0435.8+5131| 68.9530| 51.5097|    4.92|                          None|                               |      NA|      NA|    8.30|    5.46|   11.58|  |   2.12|   1.62|   2.72|      0.63|      NA|  NA |  7        |          0|Unknown
1694|   SWIFT J0435.9-3634| 68.9647|-36.5712|    5.27|                  LEDA 3095691|                               | 68.9750|-36.6116|    9.09|    6.25|   12.25|  |   1.67|   1.24|   2.13|      1.18|  0.1398|     44.69|  0        |          4|Sy1
1695|   SWIFT J0438.9-2202| 69.7145|-22.0352|    5.06|                          None|                               |      NA|      NA|    7.09|    4.51|   10.10|  |   2.10|   1.57|   2.75|      0.72|      NA|  NA |  7        |          0|Unknown
1696|   SWIFT J0449.3+6356| 72.3282| 63.9334|    6.31|                          None|                               |      NA|      NA|   14.12|   10.51|   18.05|  |   1.38|   0.98|   1.77|      0.32|      NA|  NA |  6        |          0|Unknown
